iter	Passed	Remaining
147	263	1517
148	265	1513
149	267	1517
150	269	1517
151	272	1521
152	274	1518
153	275	1515
154	277	1511
155	278	1508
156	280	1504
157	282	1505
158	284	1505
159	287	1511
160	289	1507
161	290	1504
162	292	1503
163	295	1505
164	297	1507
165	299	1505
166	301	1503
167	303	1503
168	305	1501
169	306	1497
170	309	1501
171	311	1500
172	314	1502
173	316	1502
174	317	1499
175	319	1496
176	322	1498
177	324	1496
178	325	1493
179	329	1501
180	331	1498
181	332	1496
182	335	1497
183	336	1494
184	338	1491
185	341	1492
186	343	1494
187	346	1496
188	348	1494
189	349	1491
190	351	1490
191	353	1489
192	355	1488
193	358	1489
194	361	1491
195	363	1489
196	365	1491
197	367	1488
198	368	1484
199	370	1482
200	373	1486
201	375	1484
202	378	1486
203	379	1482
204	381	1478
205	383	1477
206	385	1477
207	389	1482
208	391	1483
209	393	1479
210	394	1474
211	396	1472
212	398	1471
213	399	1468
214	401	1465
215	404	1469
216	406	1467
217	408	1465
218	410	1465
219	412	1462
220	413	1458
221	416	1459
222	419	1460
223	421	1460
224	423	1460
225	425	1457
226	427	1456
227	430	1457
228	432	1457
229	435	1459
230	437	1457
231	439	1455
232	442	1456
233	444	1454
234	446	1454
235	451	1460
236	455	1466
237	457	1463
238	459	1462
239	461	1461
240	465	1465
241	468	1467
242	470	1464
243	472	1463
244	473	1460
245	475	1458
246	479	1461
247	482	1462
248	484	1461
249	486	1458
250	487	1455
251	490	1456
252	493	1456
253	496	1459
254	498	1456
255	499	1453
256	502	1451
257	503	1449
258	506	1447
259	509	1450
260	512	1451
261	514	1448
262	516	1446
263	518	1444
264	519	1441
265	522	1442
266	526	1445
267	528	1442
268	529	1439
269	531	1436
270	533	1434
271	536	1437
272	540	1439
273	543	1439
274	545	1436
275	547	1434
276	549	1434
277	554	1440
278	557	1440
279	560	1440
280	561	1437
281	564	1436
282	566	1435
283	570	1438
284	573	1437
285	574	1435
286	576	1432
287	578	1431
288	581	1431
289	584	1430
290	586	1428
291	587	1424
292	589	1422
293	591	1419
294	594	1419
295	599	1424
296	601	1423
297	602	1420
298	604	1418
299	606	1415
300	609	1415
301	613	1416
302	615	1416
303	617	1413
304	619	1410
305	620	1408
306	622	1404
307	624	1402
308	627	1404
309	630	1404
310	633	1403
311	635	1400
312	638	1401
313	641	1400
314	643	1399
315	645	1398
316	647	1395
317	648	1391
318	650	1387
319	651	1385
320	653	1383
321	656	1383
322	659	1381
323	660	1378
324	662	1375
325	664	1373
326	665	1370
327	667	1367
328	669	1364
329	671	1363
330	673	1361
331	675	1358
332	676	1355
333	678	1352
334	679	1349
335	681	1346
336	682	1343
337	685	1342
338	687	1341
339	689	1338
340	691	1335
341	692	1332
342	694	1329
343	695	1326
344	697	1323
345	699	1321
346	701	1319
347	703	1317
348	704	1314
349	706	1311
350	707	1307
351	708	1304
352	710	1301
353	711	1298
354	712	1295
355	714	1293
356	716	1291
357	718	1288
358	719	1284
359	720	1281
360	721	1277
361	723	1275
362	724	1272
363	726	1269
364	728	1267
365	731	1266
366	733	1264
367	734	1261
368	736	1259
369	738	1256
370	739	1254
371	741	1251
372	743	1249
373	746	1249
374	748	1247
375	750	1244
376	751	1242
377	753	1239
378	754	1236
379	755	1233
380	757	1230
381	759	1228
382	761	1226
383	762	1223
384	764	1220
385	765	1218
386	767	1215
387	768	1212
388	769	1209
389	771	1206
390	773	1204
391	776	1203
392	777	1201
393	779	1198
394	780	1195
395	782	1192
396	783	1190
397	785	1187
398	786	1185
399	788	1183
400	791	1181
401	792	1178
402	794	1176
403	795	1174
404	797	1171
405	798	1168
406	800	1165
407	801	1163
408	803	1161
409	805	1159
410	807	1157
411	808	1154
412	810	1152
413	812	1149
414	813	1146
415	815	1144
416	816	1141
417	819	1140
418	821	1138
419	823	1136
420	825	1135
421	827	1133
422	829	1131
423	830	1128
424	832	1126
425	835	1125
426	838	1124
427	839	1122
428	841	1120
429	843	1118
430	844	1115
431	846	1112
432	848	1110
433	850	1109
434	852	1107
435	854	1104
436	855	1102
437	856	1099
438	858	1096
439	859	1093
440	861	1091
441	864	1091
442	866	1088
443	868	1087
444	869	1084
445	871	1082
446	873	1080
447	874	1077
448	876	1075
449	879	1074
450	881	1072
451	882	1070
452	884	1067
453	885	1065
454	887	1062
455	888	1060
456	889	1057
457	892	1055
458	894	1053
459	895	1051
460	897	1049
461	898	1046
462	900	1044
463	902	1042
464	905	1041
465	907	1039
466	908	1037
467	910	1035
468	913	1033
469	914	1031
470	916	1029
471	919	1028
472	922	1027
473	924	1025
474	925	1023
475	927	1020
476	928	1018
477	930	1015
478	931	1013
479	934	1012
480	936	1010
481	937	1007
482	939	1005
483	940	1002
484	942	1000
485	943	997
486	944	995
487	946	993
488	948	991
489	951	989
490	952	987
491	954	985
492	955	983
493	957	980
494	958	978
495	960	975
496	961	972
497	963	970
498	966	970
499	967	967
500	970	966
501	971	964
502	973	961
503	975	959
504	977	957
505	979	956
506	981	954
507	983	952
508	985	950
509	986	947
510	989	946
511	990	944
512	992	941
513	994	940
514	996	938
515	998	936
516	999	934
517	1001	932
518	1003	929
519	1004	927
520	1006	925
521	1008	923
522	1011	922
523	1012	919
524	1014	917
525	1016	915
526	1017	913
527	1019	911
528	1021	909
529	1023	907
530	1026	906
531	1027	903
532	1028	901
533	1029	898
534	1031	896
535	1033	894
536	1034	891
537	1035	889
538	1037	887
539	1040	886
540	1042	884
541	1044	882
542	1045	880
543	1046	877
544	1048	875
545	1049	872
546	1051	870
547	1053	869
548	1055	867
549	1057	865
550	1058	862
551	1060	860
552	1061	857
553	1063	855
554	1064	853
555	1066	851
556	1068	849
557	1070	848
558	1072	845
559	1073	843
560	1076	842
561	1077	840
562	1079	837
563	1081	835
564	1083	834
565	1086	832
566	1088	831
567	1090	829
568	1093	828
569	1095	826
570	1099	825
571	1101	823
572	1102	821
573	1105	820
574	1107	818
575	1108	816
576	1110	813
577	1111	811
578	1114	810
579	1116	808
580	1118	806
581	1120	804
582	1122	802
583	1123	800
584	1124	797
585	1125	795
586	1128	793
587	1130	792
588	1132	789
589	1133	787
590	1135	785
591	1136	783
592	1137	780
593	1139	778
594	1140	776
595	1141	773
596	1143	772
597	1145	770
598	1147	768
599	1149	766
600	1150	763
601	1152	761
602	1153	759
603	1155	757
604	1156	755
605	1160	754
606	1161	752
607	1164	750
608	1166	748
609	1167	746
610	1169	744
611	1171	742
612	1173	740
613	1177	739
614	1179	738
615	1180	735
616	1182	733
617	1184	732
618	1186	730
619	1188	728
620	1191	726
621	1192	724
622	1194	722
623	1197	721
624	1199	719
625	1200	717
626	1203	715
627	1206	714
628	1208	712
629	1210	711
630	1212	709
631	1214	706
632	1216	705
633	1217	702
634	1220	701
635	1222	699
636	1224	697
637	1225	695
638	1226	693
639	1228	691
640	1229	688
641	1231	686
642	1233	684
643	1235	683
644	1236	680
645	1238	678
646	1239	676
647	1240	673
648	1241	671
649	1243	669
650	1244	667
651	1245	664
652	1247	662
653	1248	660
654	1251	658
655	1252	656
656	1254	654
657	1256	652
658	1257	650
659	1259	648
660	1260	646
661	1262	644
662	1264	642
663	1266	641
664	1268	638
665	1269	636
666	1271	634
667	1272	632
668	1274	630
669	1275	628
670	1277	626
671	1278	623
672	1280	622
673	1282	620
674	1283	618
675	1284	615
676	1285	613
677	1287	611
678	1288	609
679	1290	607
680	1291	605
681	1293	603
682	1295	601
683	1297	599
684	1299	597
685	1301	595
686	1302	593
687	1304	591
688	1305	589
689	1306	587
690	1307	584
691	1310	583
692	1312	581
693	1313	579
694	1315	577
695	1316	575
696	1318	572
697	1319	570
698	1321	568
699	1322	566
700	1324	564
701	1326	563
702	1328	561
703	1329	558
704	1330	556
705	1331	554
706	1333	552
707	1334	550
708	1335	548
709	1336	546
710	1338	544
711	1340	542
712	1342	540
713	1343	538
714	1344	536
715	1346	534
716	1347	531
717	1349	529
718	1350	527
719	1351	525
720	1353	523
721	1355	521
722	1357	520
723	1359	518
724	1360	516
725	1361	514
726	1363	512
727	1364	509
728	1366	507
729	1367	505
730	1369	504
731	1371	502
732	1373	500
733	1374	498
734	1375	496
735	1377	493
736	1378	491
737	1379	489
738	1380	487
739	1382	485
740	1383	483
741	1386	481
742	1388	480
743	1390	478
744	1391	476
745	1393	474
746	1394	472
747	1396	470
748	1397	468
749	1400	466
750	1402	464
751	1404	463
752	1405	461
753	1407	459
754	1409	457
755	1410	455
756	1412	453
757	1414	451
758	1416	449
759	1418	447
760	1420	446
761	1421	444
762	1423	442
763	1425	440
764	1428	438
765	1430	437
766	1432	435
767	1434	433
768	1436	431
769	1438	429
770	1439	427
771	1442	425
772	1444	424
773	1446	422
774	1450	421
775	1453	419
776	1455	417
777	1458	416
778	1461	414
779	1463	412
780	1465	411
781	1467	409
782	1469	407
783	1471	405
784	1473	403
785	1477	402
786	1479	400
787	1482	398
788	1484	396
789	1486	395
790	1488	393
791	1491	391
792	1493	389
793	1496	388
794	1497	386
795	1499	384
796	1502	382
797	1504	380
798	1508	379
799	1510	377
800	1512	375
801	1515	374
802	1517	372
803	1519	370
804	1523	368
805	1526	367
806	1528	365
807	1529	363
808	1531	361
809	1535	360
810	1539	358
811	1542	357
812	1544	355
813	1547	353
814	1551	352
815	1554	350
816	1557	348
817	1558	346
818	1560	344
819	1564	343
820	1566	341
821	1569	339
822	1571	338
823	1573	336
824	1576	334
825	1578	332
826	1582	331
827	1584	329
828	1586	327
829	1588	325
830	1590	323
831	1594	321
832	1597	320
833	1600	318
834	1602	316
835	1604	314
836	1608	313
837	1612	311
838	1615	310
839	1617	308
840	1619	306
841	1620	304
842	1623	302
843	1626	300
844	1628	298
845	1630	296
846	1633	294
847	1635	293
848	1640	291
849	1643	289
850	1646	288
851	1648	286
852	1650	284
853	1654	282
854	1657	281
855	1660	279
856	1662	277
857	1663	275
858	1665	273
859	1672	272
860	1675	270
861	1677	268
862	1678	266
863	1680	264
864	1683	262
865	1688	261
866	1690	259
867	1691	257
868	1693	255
869	1695	253
870	1700	251
871	1702	249
872	1704	247
873	1706	245
874	1707	243
875	1708	241
876	1710	239
877	1714	238
878	1717	236
879	1718	234
880	1720	232
881	1722	230
882	1723	228
883	1726	226
884	1728	224
885	1731	222
886	1733	220
887	1734	218
888	1736	216
889	1738	214
890	1739	212
891	1741	210
892	1744	209
893	1746	207
894	1747	205
895	1749	203
896	1751	201
897	1753	199
898	1755	197
899	1759	195
900	1760	193
901	1763	191
902	1764	189
903	1766	187
904	1768	185
905	1771	183
906	1775	182
907	1777	180
908	1779	178
909	1781	176
910	1783	174
911	1785	172
912	1788	170
913	1791	168
914	1793	166
915	1794	164
916	1795	162
917	1797	160
918	1798	158
919	1799	156
920	1802	154
921	1804	152
922	1805	150
923	1807	148
924	1808	146
925	1810	144
926	1811	142
927	1813	140
928	1815	138
929	1817	136
930	1819	134
931	1820	132
932	1822	130
933	1823	128
934	1825	126
935	1826	124
936	1828	122
937	1829	120
938	1831	119
939	1833	117
940	1835	115
941	1836	113
942	1838	111
943	1839	109
944	1841	107
945	1842	105
946	1844	103
947	1845	101
948	1848	99
949	1849	97
950	1850	95
951	1852	93
952	1853	91
953	1855	89
954	1856	87
955	1857	85
956	1859	83
957	1861	81
958	1863	79
959	1865	77
960	1866	75
961	1867	73
962	1869	71
963	1870	69
964	1872	67
965	1874	65
966	1877	64
967	1879	62
968	1881	60
969	1882	58
970	1884	56
971	1886	54
972	1888	52
973	1890	50
974	1894	48
975	1897	46
976	1899	44
977	1901	42
978	1903	40
979	1905	38
980	1908	36
981	1909	35
982	1911	33
983	1912	31
984	1913	29
985	1915	27
986	1917	25
987	1919	23
988	1921	21
989	1923	19
990	1925	17
991	1926	15
992	1928	13
993	1929	11
994	1931	9
995	1932	7
996	1934	5
997	1937	3
998	1938	1
999	1940	0
